# Time-averaged data for fix tout
# TimeStep c_watT
127200 304.06
127300 293.713
127400 297.104
127500 307.799
127600 306.826
127700 301.615
127800 304.327
127900 299.265
128000 309.119
128100 305.415
128200 291.677
128300 304.143
128400 300.824
128500 296.652
128600 304.38
128700 290.547
128800 292.225
128900 298.129
129000 298.998
129100 304.501
129200 298.686
129300 301.756
129400 298.628
129500 303.3
129600 288.232
129700 302.99
129800 310.4
129900 287.994
130000 302.852
130100 297.924
130200 302.419
130300 296.466
130400 305.492
130500 316.366
130600 305.251
130700 303.118
130800 308.992
130900 294.425
131000 312.736
131100 311.97
131200 310.271
131300 302.859
131400 298.392
131500 302.445
131600 296.914
131700 301.33
131800 298.964
131900 302.942
132000 299.115
132100 304.863
132200 293.682
132300 306.032
132400 301.056
132500 293.926
132600 295.852
132700 301.585
132800 295.655
132900 299.519
133000 303.606
133100 296.61
133200 304.138
133300 299.559
133400 301.902
133500 297.321
133600 291.145
133700 292.841
133800 296.475
133900 295.199
134000 295.618
134100 294.707
134200 282.877
134300 291.743
134400 304.551
134500 286.024
134600 276.069
134700 294.36
134800 297.457
134900 294.446
135000 299.998
135100 298.057
135200 288.925
135300 293.564
135400 291.864
135500 298.807
135600 291.955
135700 294.867
135800 307.009
135900 290.338
136000 297.753
136100 299.619
136200 291.05
136300 297.079
136400 293.996
136500 286.125
136600 296.462
136700 299.615
136800 290.884
136900 286.445
137000 288.255
137100 286.199
137200 284.048
137300 296.728
137400 299.148
137500 290.52
137600 312.74
137700 312.965
137800 299.872
137900 295.028
138000 301.249
138100 310.154
138200 297.406
138300 307.086
138400 302.717
138500 299.667
138600 301.979
138700 289.598
138800 282.388
138900 292.907
139000 289.909
139100 299.319
139200 302.526
139300 305.112
139400 310.227
139500 303.215
139600 300.295
139700 295.381
139800 303.699
139900 306.751
140000 316.592
140100 299.269
140200 298.936
140300 303.749
140400 303.539
140500 312.066
140600 301.786
140700 306.998
140800 311.549
140900 301.148
141000 302.494
141100 307.463
141200 312.305
141300 302.226
141400 285.666
141500 296.997
141600 304.562
141700 290.501
141800 305.676
141900 313.386
142000 319.477
142100 309.077
142200 303.331
142300 302.001
142400 302.695
142500 297.299
142600 308.151
142700 310.322
142800 310.88
142900 318.21
143000 303.817
143100 313.528
143200 304.698
143300 298.709
143400 306.19
143500 302.415
143600 309.937
143700 295.131
143800 307.88
143900 295.746
144000 295.906
144100 286.752
144200 298.359
144300 300.424
144400 295.697
144500 298.484
144600 299.992
144700 294.405
144800 296.116
144900 293.111
145000 308.067
145100 304.856
145200 306.544
145300 293.811
145400 305.199
145500 295.738
145600 293.683
145700 293.007
145800 302.007
145900 293.572
146000 310.46
146100 299.188
146200 299.67
146300 291.71
146400 290.984
146500 293.433
146600 303.993
146700 296.922
146800 301.227
146900 293.454
147000 287.546
147100 305.408
147200 297.531
147300 306.5
147400 303.067
147500 295.415
147600 295.694
147700 303.034
147800 304.243
147900 295.788
148000 288.345
148100 299.131
148200 290.825
148300 294.97
148400 300.533
148500 287.486
148600 295.916
148700 295.937
148800 289.376
148900 295.105
149000 306.912
149100 296.624
149200 293.522
149300 299.705
149400 285.972
149500 287.423
149600 290.012
149700 300.5
149800 300
149900 282.864
150000 289.62
150100 283.284
150200 286.46
150300 293.88
150400 296.532
150500 295.901
150600 290.627
150700 282.298
150800 310.649
150900 288.227
151000 307.914
151100 300.137
151200 302.289
151300 294.564
151400 293.434
151500 293.987
151600 306.9
151700 304.7
151800 301.172
151900 293.165
152000 304.911
152100 294.771
152200 293.056
152300 290.578
152400 297.048
152500 297.626
152600 309.395
152700 284.975
152800 291.827
152900 298.723
153000 304.726
153100 288.987
153200 301.591
153300 297.355
153400 292.782
153500 306.642
153600 308.847
153700 298.276
153800 300.593
153900 291.559
154000 298.746
154100 298.603
154200 293.487
154300 304.104
154400 301.247
154500 291.931
154600 313.263
154700 293.348
154800 294.661
154900 284.945
155000 292.583
155100 291.557
155200 304.788
155300 289.239
155400 302.78
155500 304.708
155600 304.565
155700 288.907
155800 305.628
155900 289.89
156000 305.194
156100 306.197
156200 303.937
156300 293.952
156400 284.398
156500 302.946
156600 291.107
156700 296.665
156800 301.803
156900 299.538
157000 303.529
157100 295.666
157200 293.753
157300 294.463
157400 296.083
157500 297.636
157600 292.957
157700 306.301
157800 298.749
157900 299.394
158000 304.415
158100 308.025
158200 292.797
158300 296.882
158400 289.594
158500 301.067
158600 291.475
158700 292.115
158800 304.288
158900 298.329
159000 300.718
159100 293.439
159200 297.083
159300 296.563
159400 292.982
159500 288.798
159600 298.349
159700 289.819
159800 293.792
159900 299.16
160000 286.798
160100 293.425
160200 298.551
160300 300.694
160400 304.806
160500 293.744
160600 296.51
160700 308.642
160800 299.882
160900 291.361
161000 296.967
161100 297.628
161200 293.323
161300 299.775
161400 287.349
161500 309.21
161600 297.951
161700 294.187
161800 294.489
161900 288.312
162000 298.046
162100 304.808
162200 291.145
162300 297.877
162400 279.914
162500 313.199
162600 296.352
162700 300.81
162800 294.171
162900 304.394
163000 306.87
163100 313.476
163200 297.578
163300 291.308
163400 285.674
163500 291.74
163600 283.857
163700 292.453
163800 289.733
163900 293.378
164000 298.713
164100 293.983
164200 300.991
164300 291.01
164400 304.214
164500 295.756
164600 294.997
164700 304.625
164800 297.834
164900 294.484
165000 296.867
165100 292.408
165200 298.98
165300 290.036
165400 295.798
165500 306.99
165600 306.383
165700 296.739
165800 302.224
165900 307.144
166000 286.275
166100 294.547
166200 289.955
166300 299.763
166400 301.618
166500 305.297
166600 295.403
166700 306.931
166800 291.197
166900 305.251
167000 292.917
167100 304.085
167200 312.694
167300 292.546
167400 301.939
167500 302.674
167600 297.956
167700 300.187
167800 299.659
167900 296.325
168000 300.5
168100 305.472
168200 317.268
168300 306.265
168400 304.945
168500 301.525
168600 303.589
168700 283.455
168800 306.387
168900 306.041
169000 307.353
169100 301.467
169200 296.223
169300 306.788
169400 303.963
169500 306.909
169600 302.469
169700 299.438
169800 309.559
169900 299.748
170000 291.679
170100 301.629
170200 300.519
170300 299.789
170400 307.392
170500 302.208
170600 294.195
170700 306.411
170800 311.889
170900 311.135
171000 312.358
171100 303.378
171200 302.095
171300 304.171
171400 304.283
171500 304.113
171600 301.328
171700 302.891
171800 308.531
171900 287.946
172000 303.816
172100 301.47
172200 303.399
172300 298.448
172400 305.503
172500 296.754
172600 306.734
172700 289.675
172800 301.382
172900 295.005
173000 303.152
173100 296.399
173200 307.271
173300 307.665
173400 294.857
173500 305.063
173600 308.425
173700 304.344
173800 300.314
173900 300.533
174000 309.947
174100 304.678
174200 309.795
174300 302.6
174400 302.635
174500 308.002
174600 293.578
174700 288.621
174800 308.884
174900 302.958
175000 295.667
175100 297.961
175200 298.954
175300 295.479
175400 287.8
175500 292.432
175600 300.187
175700 296.677
175800 289.195
175900 304.304
176000 300.351
176100 296.144
176200 302.78
176300 300.607
176400 305.6
176500 293.495
176600 296.223
176700 298.965
176800 304.513
176900 303.915
177000 288.019
177100 297.139
177200 303.608
177300 290.047
177400 304.713
177500 294.445
177600 282.137
177700 308.966
177800 290.454
177900 303.139
178000 298.878
178100 292.843
178200 300.933
178300 297.428
178400 307.42
178500 297.122
178600 279.223
178700 291.162
178800 299.674
178900 295.699
179000 295.292
179100 300.944
179200 306.6
179300 301.935
179400 311.802
179500 294.938
179600 303.53
179700 303.646
179800 304.579
179900 300.578
180000 306.423
180100 291.76
180200 301.296
180300 290.228
180400 298.294
180500 299.266
180600 306.592
180700 302.649
180800 302.44
180900 290.936
181000 293.937
181100 296.574
181200 286.709
181300 298.832
181400 302.473
181500 298.199
181600 307.796
181700 287.366
181800 295.754
181900 301.838
182000 286.05
182100 290.84
182200 290.236
182300 303.172
182400 300.523
182500 295.381
182600 293.626
182700 296.061
182800 303.886
182900 299.941
183000 302.056
183100 293.927
183200 292.961
183300 296.958
183400 300.01
183500 296.841
183600 282.686
183700 303.415
183800 289.198
183900 299.836
184000 296.911
184100 288.73
184200 287.103
184300 289.385
184400 289.209
184500 288.808
184600 303.435
184700 296.219
184800 296.109
184900 301.131
185000 294.718
185100 297.854
185200 295.851
185300 302.424
185400 302.965
185500 288.834
185600 293.274
185700 299.932
185800 300.614
185900 298.863
186000 294.299
186100 298.519
186200 298.945
186300 301.472
186400 307.767
186500 296.792
186600 295.706
186700 295.114
186800 295.396
186900 292
187000 302.875
187100 289.734
187200 297.395
187300 295.65
187400 292.755
187500 286.956
187600 300.246
187700 288.398
187800 290.581
