# Time-averaged data for fix fheat
# TimeStep f_bbot f_btop
33900 -2.17588 4.13249
34000 -2.11742 4.0723
34100 -3.03399 3.43265
34200 -2.05501 4.90508
34300 -2.05319 4.63864
34400 -2.53684 4.56181
34500 -2.36322 4.39461
34600 -3.38371 4.62278
34700 -2.89213 5.43006
34800 -2.56162 4.64762
34900 -3.41672 4.22115
35000 -3.24597 3.74488
35100 -2.37224 5.42254
35200 -2.71684 5.63019
35300 -1.96854 4.7431
35400 -3.04548 3.79874
35500 -2.08585 3.71384
35600 -1.87249 3.66786
35700 -2.2033 3.50924
35800 -4.17398 3.89056
35900 -4.01865 2.65812
36000 -2.53208 5.16009
36100 -1.71946 4.90046
36200 -2.0792 4.68494
36300 -1.60955 6.48152
36400 -3.9868 4.66105
36500 -3.47641 4.56792
36600 -3.44539 3.92434
36700 -4.4958 3.59546
36800 -2.92133 5.04745
36900 -4.23092 3.30561
37000 -4.63782 6.08313
37100 -5.96824 4.8917
37200 -3.95743 4.2123
37300 -4.11213 4.70934
37400 -2.70892 5.71358
37500 -3.38484 4.60041
37600 -4.23662 3.91665
37700 -4.23177 4.37027
37800 -3.74317 5.34901
37900 -3.62331 5.27589
38000 -3.79159 5.37222
38100 -3.67396 5.68877
38200 -3.06454 6.2385
38300 -3.87799 4.81514
38400 -2.84362 5.94779
38500 -3.63775 6.02581
38600 -4.18373 6.04143
38700 -3.43447 5.21296
38800 -5.22887 6.10612
38900 -5.08041 6.33145
39000 -4.53372 5.37133
39100 -3.89711 4.50093
39200 -4.58292 5.53394
39300 -4.15458 5.5027
39400 -3.76791 4.11258
39500 -4.72213 5.61141
39600 -3.59147 6.93136
39700 -5.19741 6.04942
39800 -4.85402 5.31561
39900 -2.65459 5.72799
40000 -3.49239 4.99735
40100 -5.61584 5.46387
40200 -2.46289 4.40352
40300 -4.54956 5.28536
40400 -5.85588 5.51388
40500 -5.46789 5.10578
40600 -3.35623 5.47086
40700 -3.91269 5.73677
40800 -4.71112 5.68126
40900 -4.4466 5.6532
41000 -6.54188 5.80261
41100 -6.03721 5.26879
41200 -4.71398 4.20871
41300 -5.20899 4.42344
41400 -6.87265 6.02225
41500 -6.51439 5.42975
41600 -4.56969 5.44275
41700 -4.18212 5.13792
41800 -3.31969 4.70241
41900 -1.44867 5.563
42000 -3.45163 6.2305
42100 -4.43046 5.92462
42200 -4.88065 6.11565
42300 -5.96327 6.00348
42400 -6.01662 6.80352
42500 -6.07427 6.27115
42600 -5.86335 7.29486
42700 -4.92183 5.88989
42800 -6.31868 5.70216
42900 -4.69281 6.6104
43000 -5.51121 6.37557
43100 -5.87545 5.38134
43200 -4.4952 5.4062
43300 -5.08579 5.54621
43400 -4.84453 5.45326
43500 -4.76143 6.19028
43600 -3.54794 7.35976
43700 -3.95599 7.84033
43800 -3.99728 7.06391
43900 -3.60603 6.88695
44000 -3.98348 6.63019
44100 -4.29834 6.40674
44200 -3.75998 6.78005
44300 -5.10177 6.71968
44400 -5.85184 5.87502
44500 -5.28981 6.78411
44600 -5.72764 7.25427
44700 -4.99529 6.02061
44800 -4.31144 5.77727
44900 -4.68416 6.0128
45000 -5.96625 6.47115
45100 -4.11467 7.42972
45200 -5.12248 6.54849
45300 -4.3651 6.60122
45400 -5.20537 5.6517
45500 -5.05317 5.59568
45600 -5.43002 5.92443
45700 -6.36107 5.52764
45800 -4.35055 6.20927
45900 -5.14456 6.1439
46000 -4.48502 5.1233
46100 -4.52315 4.96247
46200 -4.1066 6.45586
46300 -4.88452 5.47506
46400 -4.07535 6.08104
46500 -4.6564 6.20116
46600 -5.3237 6.47044
46700 -2.8998 5.7567
46800 -4.36559 5.78137
46900 -4.32748 6.36163
47000 -5.11614 5.37891
47100 -4.20944 5.55761
47200 -3.16364 6.94564
47300 -3.56385 8.24006
47400 -4.34999 7.65658
47500 -5.39531 6.92505
47600 -5.6808 5.63629
47700 -6.09411 5.48966
47800 -3.96859 5.66785
47900 -4.49916 5.04748
48000 -3.97589 5.26022
48100 -3.06279 6.1017
48200 -4.90248 6.77996
48300 -5.02394 6.80433
48400 -5.39949 7.15275
48500 -6.02113 6.54331
48600 -5.55137 6.36124
48700 -6.73115 5.72151
48800 -6.69753 5.64944
48900 -5.86918 5.06109
49000 -4.57382 4.61485
49100 -4.78641 5.54539
49200 -5.09024 4.87533
49300 -4.98744 5.29155
49400 -7.02698 5.95721
49500 -6.91772 6.66256
49600 -6.44376 6.26129
49700 -6.90048 7.53966
49800 -6.81126 7.09026
49900 -6.60445 6.9149
50000 -6.32735 5.84824
50100 -5.07075 7.06184
50200 -6.4058 7.04033
50300 -6.01285 6.75931
50400 -7.00512 7.33566
50500 -6.80158 7.08752
50600 -5.73783 7.11483
50700 -5.23441 6.30559
50800 -5.02555 6.28567
50900 -6.74301 6.64
51000 -7.51565 7.80968
51100 -6.50816 8.12621
51200 -5.29753 8.04171
51300 -6.21233 6.50394
51400 -5.79096 7.27296
51500 -6.53456 7.24257
51600 -6.13954 7.49141
51700 -5.70495 7.06881
51800 -6.65427 6.98287
51900 -6.13027 8.08519
52000 -5.286 9.13411
52100 -6.13684 7.97778
52200 -5.26547 9.1244
52300 -4.61296 8.14538
52400 -6.61889 8.15601
52500 -6.80759 8.56138
52600 -5.35185 7.77387
52700 -5.43237 8.8053
52800 -5.91926 9.19097
52900 -7.42464 8.41618
53000 -5.90704 8.34153
53100 -5.09033 7.37552
53200 -5.77468 7.62226
53300 -6.49198 6.9235
53400 -6.86811 8.11544
53500 -6.04553 7.53594
53600 -5.46131 8.71856
53700 -7.50891 9.81237
53800 -7.00319 8.6752
53900 -5.77059 8.00614
54000 -6.25777 8.49087
54100 -4.65831 8.04378
54200 -5.54849 8.96842
54300 -5.87811 9.14511
54400 -7.62461 9.31518
54500 -6.96496 10.3913
54600 -7.79134 8.82088
54700 -6.60888 9.05376
54800 -6.0177 8.93438
54900 -7.00332 8.42666
55000 -5.51362 7.87689
55100 -4.47365 8.64288
55200 -6.78702 9.32227
55300 -7.59876 8.19096
55400 -8.60945 7.94737
55500 -7.02335 8.62725
55600 -8.24252 9.48619
55700 -7.38543 8.54424
55800 -6.8496 8.63836
55900 -7.98953 7.76771
56000 -7.19833 9.10301
