# Time-averaged data for fix eout
# TimeStep v_etot c_watT
12880 -3063.93 298.603
12900 -3063.93 306.035
12920 -3063.93 298.612
12940 -3063.93 293.804
12960 -3063.93 298.959
12980 -3063.93 304.894
13000 -3063.93 305.216
13020 -3063.93 304.689
13040 -3063.93 307.705
13060 -3063.94 303.909
13080 -3063.94 314.231
13100 -3063.93 304.416
13120 -3063.93 298.594
13140 -3063.93 301.271
13160 -3063.93 309.83
13180 -3063.94 302.691
13200 -3063.94 303.397
13220 -3063.93 303.628
13240 -3063.93 305.057
13260 -3063.93 299.547
13280 -3063.93 299.979
13300 -3063.93 295.409
13320 -3063.93 298.997
13340 -3063.93 298.444
13360 -3063.93 294.566
13380 -3063.93 291.158
13400 -3063.93 296.297
13420 -3063.93 295.385
13440 -3063.94 295.121
13460 -3063.93 295.981
13480 -3063.93 303.197
13500 -3063.92 295.951
13520 -3063.94 306.303
13540 -3063.93 301.954
13560 -3063.94 295.927
13580 -3063.93 307.616
13600 -3063.94 307.218
13620 -3063.93 296.45
13640 -3063.93 289.29
13660 -3063.93 295.797
13680 -3063.94 305.858
13700 -3063.94 298.115
13720 -3063.93 300.897
13740 -3063.93 301.643
13760 -3063.93 301.597
13780 -3063.94 303.768
13800 -3063.93 297.459
13820 -3063.93 306.19
13840 -3063.94 310.011
13860 -3063.94 307.377
13880 -3063.93 304.13
13900 -3063.94 298.226
13920 -3063.93 298.746
13940 -3063.93 293.285
13960 -3063.93 299.787
13980 -3063.94 299.072
14000 -3063.94 303.344
14020 -3063.94 302.211
14040 -3063.93 301.777
14060 -3063.93 303.517
14080 -3063.94 293.455
14100 -3063.93 294.38
14120 -3063.93 294.541
14140 -3063.93 298.985
14160 -3063.93 299.835
14180 -3063.93 295.222
14200 -3063.94 299.134
14220 -3063.93 304.607
14240 -3063.93 317.793
14260 -3063.93 306.542
14280 -3063.93 301.105
14300 -3063.93 304.011
14320 -3063.93 302.636
14340 -3063.94 302.549
14360 -3063.93 296.726
14380 -3063.94 291.697
14400 -3063.94 288.17
14420 -3063.94 293.284
14440 -3063.93 290.158
14460 -3063.94 296.192
14480 -3063.93 301.302
14500 -3063.93 300.974
14520 -3063.93 305.428
14540 -3063.93 292.377
14560 -3063.94 312.057
14580 -3063.94 300.342
14600 -3063.93 294.025
14620 -3063.93 296.811
14640 -3063.93 289.414
14660 -3063.94 295.54
14680 -3063.94 300.495
14700 -3063.95 298.641
14720 -3063.93 297.086
14740 -3063.94 300.58
14760 -3063.94 301.74
14780 -3063.94 299.008
14800 -3063.94 300.723
14820 -3063.94 305.409
14840 -3063.93 290.354
14860 -3063.95 294.778
14880 -3063.94 290.526
14900 -3063.94 297.257
14920 -3063.96 292.535
14940 -3063.94 291.021
14960 -3063.94 304.007
14980 -3063.94 293.87
15000 -3063.95 292.185
15020 -3063.94 296.509
15040 -3063.94 285.922
15060 -3063.94 295.896
15080 -3063.94 305.049
15100 -3063.94 312.157
15120 -3063.94 295.455
15140 -3063.94 297.656
15160 -3063.94 303.65
15180 -3063.94 298.653
15200 -3063.93 304.355
15220 -3063.94 294.054
15240 -3063.94 298.078
15260 -3063.94 299.937
15280 -3063.94 303.415
15300 -3063.95 301.273
15320 -3063.94 303.966
15340 -3063.94 304.357
15360 -3063.94 294.306
15380 -3063.94 304.561
15400 -3063.93 289.989
15420 -3063.94 295.624
15440 -3063.94 293.392
15460 -3063.93 297.646
15480 -3063.93 288.468
15500 -3063.93 298.146
15520 -3063.94 300.242
15540 -3063.94 301.874
15560 -3063.94 301.605
15580 -3063.94 312.603
15600 -3063.94 296.971
15620 -3063.93 299.91
15640 -3063.93 295.157
15660 -3063.94 300.254
15680 -3063.94 304.544
15700 -3063.95 299.207
15720 -3063.94 298.03
15740 -3063.94 296.929
15760 -3063.94 302.79
15780 -3063.93 295.754
15800 -3063.94 299.175
15820 -3063.94 293.594
15840 -3063.94 304.115
15860 -3063.94 298.655
15880 -3063.94 301.679
15900 -3063.94 289.86
15920 -3063.93 301.835
15940 -3063.94 295.876
15960 -3063.94 307.36
15980 -3063.94 295.673
16000 -3063.94 304.011
16020 -3063.93 294.092
16040 -3063.94 297.085
16060 -3063.93 301.943
16080 -3063.94 301.615
16100 -3063.94 312.224
16120 -3063.94 299.601
16140 -3063.94 304.391
16160 -3063.94 299.92
16180 -3063.93 297.898
16200 -3063.94 299.645
16220 -3063.94 303.054
16240 -3063.93 303.238
16260 -3063.94 298.215
16280 -3063.94 306.845
16300 -3063.94 293.851
16320 -3063.94 303.547
16340 -3063.94 308.473
16360 -3063.96 307.475
16380 -3063.94 299.505
16400 -3063.94 300.735
16420 -3063.94 311.034
16440 -3063.94 305.438
16460 -3063.94 305.12
16480 -3063.94 308.16
16500 -3063.94 294.286
16520 -3063.94 301.188
16540 -3063.94 302.142
16560 -3063.94 303.087
16580 -3063.94 294.542
16600 -3063.94 297.792
16620 -3063.95 304.855
16640 -3063.94 298.489
16660 -3063.94 304.804
16680 -3063.94 291.79
16700 -3063.94 303.769
16720 -3063.95 295.258
16740 -3063.95 300.247
16760 -3063.95 304.411
16780 -3063.94 303.533
16800 -3063.95 302.569
16820 -3063.95 306.168
16840 -3063.95 296.831
16860 -3063.95 292.169
16880 -3063.95 293.64
16900 -3063.95 293.681
16920 -3063.95 298.997
16940 -3063.95 317.932
16960 -3063.95 310.737
16980 -3063.94 305.12
17000 -3063.95 304.955
17020 -3063.95 297.556
17040 -3063.96 299.455
17060 -3063.95 311.078
17080 -3063.95 299.031
17100 -3063.94 293.512
17120 -3063.94 302.016
17140 -3063.94 296.941
17160 -3063.95 301.236
17180 -3063.94 299.629
17200 -3063.94 294.686
17220 -3063.95 298.314
17240 -3063.95 301.074
17260 -3063.94 293.235
17280 -3063.94 298.19
17300 -3063.94 297.222
17320 -3063.95 300.081
17340 -3063.94 292.176
17360 -3063.95 307.047
17380 -3063.95 302.145
17400 -3063.95 297.825
17420 -3063.95 303.087
17440 -3063.95 300.296
17460 -3063.95 309.959
17480 -3063.95 298.272
17500 -3063.95 302.146
17520 -3063.95 293.384
17540 -3063.94 288.518
17560 -3063.95 295.937
17580 -3063.95 298.979
17600 -3063.95 303.402
17620 -3063.96 306.63
17640 -3063.95 299.801
17660 -3063.95 301.519
17680 -3063.94 287.94
17700 -3063.97 295.323
17720 -3063.95 293.016
17740 -3063.95 301.149
17760 -3063.95 304.566
17780 -3063.95 299.244
17800 -3063.95 305.86
17820 -3063.95 304.602
17840 -3063.95 303.274
17860 -3063.95 302.401
17880 -3063.96 301.565
17900 -3063.96 304.975
17920 -3063.95 296.282
17940 -3063.95 293.943
17960 -3063.96 292.288
17980 -3063.95 296.374
18000 -3063.95 298.846
18020 -3063.95 297.807
18040 -3063.96 298.225
18060 -3063.95 300.35
18080 -3063.95 306.657
18100 -3063.95 300.87
18120 -3063.95 291.439
18140 -3063.95 309.571
18160 -3063.96 309.334
18180 -3063.95 301.295
18200 -3063.94 286.635
18220 -3063.96 300.225
18240 -3063.95 300.498
18260 -3063.95 300.016
18280 -3063.95 295.429
18300 -3063.95 304.481
18320 -3063.95 299.006
18340 -3063.95 302.897
18360 -3063.95 287.143
18380 -3063.97 296.823
18400 -3063.95 293.458
18420 -3063.95 301.508
18440 -3063.95 296.21
18460 -3063.96 296.408
18480 -3063.95 299.98
18500 -3063.95 303.837
18520 -3063.95 298.57
18540 -3063.95 304.689
18560 -3063.96 313.578
18580 -3063.96 309.992
18600 -3063.96 311.605
18620 -3063.95 304.489
18640 -3063.96 306.754
18660 -3063.95 310.52
18680 -3063.95 315.107
18700 -3063.95 299.951
18720 -3063.95 302.1
18740 -3063.95 299.372
18760 -3063.95 310.637
18780 -3063.95 296.003
18800 -3063.95 305.008
18820 -3063.95 300.195
18840 -3063.95 294.034
18860 -3063.95 313.551
18880 -3063.96 298.383
18900 -3063.96 305.545
18920 -3063.96 312.75
18940 -3063.96 307.221
18960 -3063.95 298.863
18980 -3063.96 301.81
19000 -3063.95 301.169
19020 -3063.96 304.697
19040 -3063.95 295.47
19060 -3063.95 305.048
19080 -3063.95 301.63
19100 -3063.96 304.856
19120 -3063.95 297.722
19140 -3063.95 301.382
19160 -3063.95 307.731
19180 -3063.95 296.816
19200 -3063.96 306.242
19220 -3063.96 303.192
19240 -3063.95 302.878
19260 -3063.95 297.527
19280 -3063.95 303.914
19300 -3063.95 303.742
19320 -3063.95 300.496
19340 -3063.96 306.929
19360 -3063.96 304.466
19380 -3063.96 301.617
19400 -3063.96 300.347
19420 -3063.96 301.11
19440 -3063.96 309.916
19460 -3063.96 315.704
19480 -3063.95 305.99
19500 -3063.96 313.144
19520 -3063.95 302.864
19540 -3063.96 304.639
19560 -3063.95 304.593
19580 -3063.96 299.875
19600 -3063.96 312.231
19620 -3063.96 308.734
19640 -3063.95 296.874
19660 -3063.95 302.957
19680 -3063.95 293.22
19700 -3063.96 308.702
19720 -3063.95 304.62
19740 -3063.95 310.061
19760 -3063.95 305.199
19780 -3063.95 303.013
19800 -3063.95 314.705
19820 -3063.95 300.327
19840 -3063.95 307.039
19860 -3063.95 301.677
19880 -3063.95 304.948
19900 -3063.95 296.184
19920 -3063.96 309.82
19940 -3063.95 301.561
19960 -3063.95 304.035
19980 -3063.95 301.172
20000 -3063.95 308.996
