# Time-averaged data for fix tout
# TimeStep c_watT
67500 308.117
67600 303.198
67700 309.571
67800 318.908
67900 299.764
68000 309.435
68100 305.755
68200 302.707
68300 302.035
68400 304.299
68500 308.496
68600 308.215
68700 305.754
68800 300.301
68900 308.511
69000 302.767
69100 311.143
69200 310.834
69300 314.996
69400 306.636
69500 303.47
69600 311.671
69700 302.431
69800 301.387
69900 308.398
70000 303.282
70100 294.563
70200 309.961
70300 313.192
70400 296.049
70500 302.633
70600 294.714
70700 309.279
70800 303.828
70900 311.961
71000 302.657
71100 309.097
71200 309.29
71300 311.728
71400 299.424
71500 314.111
71600 305.264
71700 308.918
71800 303.799
71900 303.985
72000 300.986
72100 314.419
72200 307.082
72300 301.529
72400 301.347
72500 314.63
72600 296.334
72700 288.923
72800 292.719
72900 297.79
73000 311.14
73100 322.868
73200 303.226
73300 304.981
73400 293.036
73500 296.877
73600 312.015
73700 304.52
73800 301.117
73900 306.224
74000 302.573
74100 292.319
74200 304.231
74300 306.053
74400 297.718
74500 304.583
74600 311.944
74700 295.44
74800 293.265
74900 305.621
75000 302.935
75100 308.152
75200 296.174
75300 302.491
75400 305.4
75500 308.336
75600 306.819
75700 313.985
75800 298.036
75900 307.569
76000 314.877
76100 300.502
76200 312.927
76300 296.803
76400 296.471
76500 309.367
76600 298.283
76700 312.407
76800 313.198
76900 306.475
77000 311.444
77100 305.643
77200 301.332
77300 301.458
77400 312.912
77500 301.616
77600 300.305
77700 299.081
77800 305.15
77900 309.485
78000 301.939
78100 311.54
78200 295.754
78300 302.331
78400 300.504
78500 299.986
78600 297.75
78700 291.565
78800 298.943
78900 295.311
79000 297.32
79100 295.674
79200 292.877
79300 302.774
79400 307.626
79500 298.988
79600 303.633
79700 289.172
79800 303.058
79900 302.533
80000 299.004
80100 306.418
80200 300.114
80300 305.973
80400 298.964
80500 305.389
80600 297.898
80700 301.717
80800 298.367
80900 297.872
81000 300.636
81100 295.85
81200 299.91
81300 288.284
81400 317.109
81500 303.14
81600 304.601
81700 304.47
81800 302.403
81900 290.513
82000 302.853
82100 299.942
82200 305.892
82300 285.497
82400 297.864
82500 299.895
82600 306.232
82700 301.631
82800 303.132
82900 309.275
83000 283.272
83100 294.491
83200 295.424
83300 301.463
83400 305.946
83500 305.298
83600 302.052
83700 302.356
83800 303.104
83900 293.635
84000 295.066
84100 300.891
84200 291.001
84300 300.531
84400 297.992
84500 297.833
84600 295.05
84700 298.575
84800 301.95
84900 296.47
85000 300.916
85100 297.988
85200 307.102
85300 303.109
85400 303.822
85500 311.837
85600 302.42
85700 297.259
85800 301.68
85900 298.444
86000 297.382
86100 292.896
86200 298.543
86300 288.179
86400 300.188
86500 293.76
86600 308.605
86700 303.152
86800 306.259
